prompt,result,job
"### Instruction: Provide a audacious rewording of ""When you're in the deep dark depths of grief, who do you lean on?"". Respond with a single, audacious question that completes the request.
### Response:","""In the face of unimaginable sorrow and loss, what divine source of strength emerges to guide you through the darkness?""",grief1_question
"### Instruction: Provide a friendly rewording of ""When you're in the deep dark depths of grief, who do you lean on?"". Respond with a single, friendly question that completes the request.
### Response:","""Who or what has helped and supported you during challenging times?""",grief1_question
"### Instruction: Provide a probing rewording of ""When you're in the deep dark depths of grief, who do you lean on?"". Respond with a single, probing question that completes the request.
### Response:","When faced with such profound sorrow, where can one find solace and support?",grief1_question
"### Instruction: Provide a friendly rewording of ""When you're in the deep dark depths of grief, who do you lean on?"". Respond with a single, friendly question that completes the request.
### Response:","In times of deep sorrow and loss, who do you find comfort in sharing your emotions with?",grief1_question
"### Instruction: Provide a probing rewording of ""When you're in the deep dark depths of grief, who do you lean on?"". Respond with a single, probing question that completes the request.
### Response:","""In times of profound sorrow, whom can you rely upon for support and solace?""",grief1_question
"### Instruction: Provide a puzzling rewording of ""Have you thought about your own death? If not take a moment to think about it now. How do you wish to be remembered once you're gone?"". Respond with a single, puzzling question that completes the request.
### Response:","What does the concept of legacy mean in the context of an ever-changing world, and how might one's presence continue to impact future generations despite the transitory nature of existence?",grief2_question
"### Instruction: Provide a friendly rewording of ""Have you thought about your own death? If not take a moment to think about it now. How do you wish to be remembered once you're gone?"". Respond with a single, friendly question that completes the request.
### Response:",Would you like to reflect on your legacy and what you would like to leave behind?,grief2_question
"### Instruction: Provide a articulate rewording of ""Have you thought about your own death? If not take a moment to think about it now. How do you wish to be remembered once you're gone?"". Respond with a single, articulate question that completes the request.
### Response:","""How do you envision crafting your legacy while contemplating your own mortality, ensuring that your impact endures long after you have departed from this life?""",grief2_question
"### Instruction: Provide a hesitant rewording of ""Have you thought about your own death? If not take a moment to think about it now. How do you wish to be remembered once you're gone?"". Respond with a single, hesitant question that completes the request.
### Response:","""Contemplating one's mortality, what are some ways in which an individual can honor their legacy and leave a lasting impact on the world around them?""",grief2_question
"### Instruction: Provide a probing rewording of ""Have you thought about your own death? If not take a moment to think about it now. How do you wish to be remembered once you're gone?"". Respond with a single, probing question that completes the request.
### Response:",What aspects of your life and values would you like to be highlighted in your obituary or memorial service?,grief2_question
"### Instruction: Provide a articulate rewording of ""Not all grief is treated equally in an unequal world. Does your grief make you angry? Are you allowed to express it?"". Respond with a single, articulate question that completes the request.
### Response:","How can one navigate and express their grief within a society that often prioritizes certain experiences over others, particularly when faced with anger as an emotional response?",grief3_question
"### Instruction: Provide a probing rewording of ""Not all grief is treated equally in an unequal world. Does your grief make you angry? Are you allowed to express it?"". Respond with a single, probing question that completes the request.
### Response:",In what ways can societal expectations and cultural norms impact how individuals process and cope with grief?,grief3_question
"### Instruction: Provide a friendly rewording of ""Not all grief is treated equally in an unequal world. Does your grief make you angry? Are you allowed to express it?"". Respond with a single, friendly question that completes the request.
### Response:","What does it mean for grief to be treated unequally, and how can we better support one another in times of loss?",grief3_question
"### Instruction: Provide a audacious rewording of ""Not all grief is treated equally in an unequal world. Does your grief make you angry? Are you allowed to express it?"". Respond with a single, audacious question that completes the request.
### Response:","In an unjust society, does the inequality experienced in our daily lives affect how we process and respond to personal tragedies, shaping our anger and frustration as unique emotional responses?",grief3_question
"### Instruction: Provide a probing rewording of ""Not all grief is treated equally in an unequal world. Does your grief make you angry? Are you allowed to express it?"". Respond with a single, probing question that completes the request.
### Response:","How does societal inequality impact the validation and expression of grief, particularly when it's related to marginalized groups or causes?",grief3_question
"### Instruction: Provide a concerned rewording of ""What unhealthy coping mechanisms have you used to deal with grief?"". Respond with a single, concerned question that completes the request.
### Response:",How are you currently managing your grief and seeking support?,grief4_question
"### Instruction: Provide a articulate rewording of ""What unhealthy coping mechanisms have you used to deal with grief?"". Respond with a single, articulate question that completes the request.
### Response:","In order to better understand your experience and relationship with grief, could you share specific examples or scenarios in which these unhealthy coping mechanisms were employed?",grief4_question
"### Instruction: Provide a concerned rewording of ""What unhealthy coping mechanisms have you used to deal with grief?"". Respond with a single, concerned question that completes the request.
### Response:",How might you have utilized unhealthy methods to manage your feelings after experiencing a loss?,grief4_question
"### Instruction: Provide a friendly rewording of ""What unhealthy coping mechanisms have you used to deal with grief?"". Respond with a single, friendly question that completes the request.
### Response:","""How have you managed your emotions during difficult times?""",grief4_question
"### Instruction: Provide a hesitant rewording of ""What unhealthy coping mechanisms have you used to deal with grief?"". Respond with a single, hesitant question that completes the request.
### Response:",What are some coping mechanisms for dealing with grief?,grief4_question
